ID;Muskel;Weitere_Muskeln;Muskelgruppe_UI;Weitere_Muskelgruppen_UI;Übung;Equipment;Equipment_Normalisiert;Variationen;Aliase;Tracking_Typ;Übungstyp;Bewegungsmuster;Seitenmodus;Aktiv;Review_Status;Review_Hinweis
EX-0001;M. pectoralis major;;Brust;;Bankdrücken;Kurzhantel|Langhantel|Multipresse;Kurzhantel|Langhantel|Multipresse;Brustpresse|einarmige Maschinenpresse|flach/leicht negativ;;weight_reps;compound;horizontal_push;bilateral;true;auto_ok;
EX-0002;M. pectoralis major;;Brust;;Schrägbankdrücken;Kurzhantel|Langhantel|Multipresse;Kurzhantel|Langhantel|Multipresse;Schrägbrustpresse|verschiedene Bankwinkel;;weight_reps;compound;horizontal_push;bilateral;true;auto_ok;
EX-0003;M. pectoralis major;;Brust;;Negativbankdrücken;Kurzhantel|Langhantel|Multipresse;Kurzhantel|Langhantel|Multipresse;Negativ-Brustpresse;;weight_reps;compound;horizontal_push;bilateral;true;auto_ok;
EX-0004;M. pectoralis major;;Brust;;Liegestütz;Klimmzugstange|Bodenschutzmatte;Klimmzugstange|Bodenschutzmatte;Defizit|einarmig unterstützt|erhöht|Füße erhöht|gewichtet|Griffe|klassisch;;bodyweight_reps;compound;horizontal_push;bilateral;true;auto_ok;
EX-0005;M. pectoralis major;M. triceps brachii;Brust;Trizeps;Dips;Bank|Dipstangen|Maschine|Klimmzugstange;Bank|Dipstangen|Maschine|Klimmzugstange;Brustfokus|gewichtet|Trizepsfokus|unterstützt;Dips mit Brustfokus|Dips mit Trizepsfokus;weight_reps;compound;horizontal_push;bilateral;true;auto_ok;
EX-0006;M. pectoralis major;;Brust;;Brust-Fly;Single Kabelturm|Kurzhantel|Maschine|Klimmzugstange;Single Kabelturm|Kurzhantel|Maschine|Klimmzugstange;flach/schräg/negativ|Pec-Deck;;weight_reps;isolation;horizontal_push;variable;true;auto_ok;
EX-0007;M. pectoralis major;;Brust;;Kabel-Crossover;;Single Kabelturm;einarmig|hoch nach tief|horizontal|tief nach hoch;;weight_reps;isolation;horizontal_push;bilateral;true;prüfen;Equipment ergänzt: Single Kabelturm
EX-0008;M. pectoralis major;;Brust;;Svend Press / Plate Press;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;Hantelscheibe;;weight_reps;isolation;horizontal_push;bilateral;true;auto_ok;
EX-0009;M. pectoralis major;M. latissimus dorsi;Brust;Rücken;Pullover;Single Kabelturm|Kurzhantel|Langhantel|Maschine;Single Kabelturm|Kurzhantel|Langhantel|Maschine;Brustfokus;Pullover mit Brustfokus;weight_reps;isolation;shoulder_extension;bilateral;true;auto_ok;
EX-0010;M. pectoralis major;M. deltoideus Pars clavicularis;Brust;Schulter;Landmine Press;Langhantel;Langhantel;beidarmig|Brustfokus|einarmig|kniend|stehend;Landmine Press mit Brustfokus;weight_reps;compound;vertical_push;bilateral;true;auto_ok;
EX-0011;M. pectoralis minor;;Brust;;Scapular Push-up / Push-up Plus;Bank|Bodenschutzmatte|Klimmzugstange;Bank|Bodenschutzmatte|Klimmzugstange;gewichtet|Wand;;bodyweight_reps;compound;horizontal_push;bilateral;true;auto_ok;
EX-0012;M. pectoralis minor;;Brust;;Serratus-/Scapula-Dip;Dipstangen;Dipstangen;Dipmaschine|Stütz auf Bank;;bodyweight_reps;isolation;vertical_pull;bilateral;true;prüfen;Klassifikation fachlich gegen gewünschte Library-Logik prüfen
EX-0013;M. pectoralis minor;;Brust;;Gerader Armzug nach unten mit Schulterblattdepression;Single Kabelturm|Maschine;Single Kabelturm|Maschine;Widerstandsband;;weight_reps;isolation;vertical_pull;bilateral;true;prüfen;Klassifikation fachlich gegen gewünschte Library-Logik prüfen
EX-0014;M. pectoralis minor;;Brust;;Isometrische Schulterblattdepression im Stütz;Dipstangen|Klimmzugstange;Dipstangen|Klimmzugstange;;;time;isometric;vertical_pull;bilateral;true;prüfen;Klassifikation fachlich gegen gewünschte Library-Logik prüfen
EX-0015;M. pectoralis minor;;Brust;;Überkopf-Pulldown mit gestreckten Armen;Single Kabelturm|Maschine;Single Kabelturm|Maschine;Band;;weight_reps;isolation;vertical_pull;bilateral;true;prüfen;Klassifikation fachlich gegen gewünschte Library-Logik prüfen
EX-0016;M. deltoideus Pars acromialis;;Schulter;;Seitheben;Single Kabelturm|Kurzhantel|Maschine;Single Kabelturm|Kurzhantel|Maschine;einarmig|Lean-away|sitzend/stehend|Widerstandsband;;weight_reps;isolation;shoulder_abduction;variable;true;auto_ok;
EX-0017;M. deltoideus Pars acromialis;;Schulter;;Aufrechtes Rudern;Single Kabelturm|Kurzhantel|Langhantel|Maschine|SZ-Stange;Single Kabelturm|Kurzhantel|Langhantel|Maschine|SZ-Stange;breiter Griff;;weight_reps;compound;shoulder_abduction;bilateral;true;auto_ok;
EX-0018;M. deltoideus Pars acromialis;;Schulter;;Schulterdrücken mit abduzierten Armen;Kurzhantel|Langhantel|Maschine|Multipresse;Kurzhantel|Langhantel|Maschine|Multipresse;Arnold Press;;weight_reps;compound;vertical_push;bilateral;true;auto_ok;
EX-0019;M. deltoideus Pars acromialis;;Schulter;;High Incline Lateral Raise;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;;;weight_reps;isolation;shoulder_abduction;bilateral;true;auto_ok;
EX-0020;M. deltoideus Pars acromialis;;Schulter;;Lu Raise;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;Hantelscheibe;;weight_reps;isolation;shoulder_abduction;bilateral;true;auto_ok;
EX-0021;M. deltoideus Pars acromialis;;Schulter;;Iron Cross Hold;Single Kabelturm|Kurzhantel|Klimmzugstange;Single Kabelturm|Kurzhantel|Klimmzugstange;;;weight_time;isometric;shoulder_abduction;bilateral;true;auto_ok;
EX-0022;M. deltoideus Pars clavicularis;;Schulter;;Frontheben;Single Kabelturm|Kurzhantel|Langhantel|SZ-Stange;Single Kabelturm|Kurzhantel|Langhantel|SZ-Stange;alternierend/einarmig|Band|Hantelscheibe;;weight_reps;isolation;shoulder_flexion;variable;true;auto_ok;
EX-0023;M. deltoideus Pars clavicularis;;Schulter;;Schulterdrücken;Kurzhantel|Langhantel|Maschine|Multipresse;Kurzhantel|Langhantel|Maschine|Multipresse;Arnold Press|Landmine;;weight_reps;compound;vertical_push;bilateral;true;auto_ok;
EX-0024;M. deltoideus Pars clavicularis;;Schulter;;Schrägbankdrücken mit hohem Winkel;Kurzhantel|Langhantel|Maschine|Multipresse;Kurzhantel|Langhantel|Maschine|Multipresse;;;weight_reps;compound;horizontal_push;bilateral;true;auto_ok;
EX-0025;M. deltoideus Pars clavicularis;;Schulter;;Reverse-Grip Bench Press;Langhantel|Multipresse;Langhantel|Multipresse;;;weight_reps;isolation;horizontal_push;bilateral;true;auto_ok;
EX-0026;M. deltoideus Pars clavicularis;;Schulter;;Cable Y-Raise nach vorn;;Single Kabelturm;Bank-gestützt|beidarmig|einarmig;;weight_reps;isolation;vertical_push;bilateral;true;prüfen;Equipment ergänzt: Single Kabelturm
EX-0027;M. deltoideus Pars spinalis;;Schulter;;Reverse Fly;Single Kabelturm|Kurzhantel|Maschine;Single Kabelturm|Kurzhantel|Maschine;Band|brustgestützt|Reverse-Pec-Deck;;weight_reps;isolation;shoulder_retraction;variable;true;auto_ok;
